ano,km,cilindrada,preço,
2012,52000,14,31900,3
2015,43600,14,38500,3
2011,78000,16,27990,2
2013,54000,10,28000,2
2012,80000,14,28800,2
2011,79000,14,27800,1
2012,92000,14,29900,2
2013,38789,14,33900,3
2012,91320,14,27000,1
2013,59592,14,30990,3
2014,47000,10,28000,2
